Bathrooms,Bedrooms2,Date Created,Builder2,Floor,Furnished Status,Price2,Project Name,Property Type,Verified,Brand New,User Type,Prop ID2
2,2,20210708,,3,Semi-Furnished,4000000,,Apartment,,Resale,Owner,domcache_srp_54691735
2,2,20210621,,1,Unfurnished,3200000,Silver Apartment,Apartment,,Resale,Owner,domcache_srp_54550815
2,2,20210626,,Ground,Unfurnished,6500000,,Residential House,,Resale,Owner,domcache_srp_50221298
2,3,20210608,,1,Furnished,6000000,,Builder Floor Apartment,,Resale,Owner,domcache_srp_41021261
1,1,20210626,,1,Unfurnished,6700000,,Residential House,,Resale,Owner,domcache_srp_53930359
3,4,20210621,Maphar Constructions,Upper Basement,Semi-Furnished,8500000,Sabz Residency,Apartment,,Resale,Owner,domcache_srp_53331671
2,2,20210626,,,Unfurnished,4800000,Mallikarjuna Encalve,Villa,,Resale,Owner,domcache_srp_51001166
2,2,20210608,,1,Unfurnished,7000000,,Residential House,,Resale,Owner,domcache_srp_54179215
3,2,20210708,,Ground,Unfurnished,8000000,,Residential House,,Resale,Owner,domcache_srp_51045480
1,3,20210608,,Ground,Semi-Furnished,2800000,,Residential House,,Resale,Owner,domcache_srp_55336135
2,2,20210608,R V Nirmaan Pvt. Ltd.,4,Furnished,6500000,RV Avaneendra,Apartment,,Resale,Owner,domcache_srp_53312317
1,1,20210626,,1,Unfurnished,3200000,,Apartment,,Resale,Owner,domcache_srp_53924485
2,3,20210608,,Ground,Unfurnished,12000000,,Residential House,,Resale,Owner,domcache_srp_53927711
2,2,20210621,,5,Semi-Furnished,5000000,,Apartment,,Resale,Owner,domcache_srp_50456998
3,3,20210425,Babukhan Properties,5,Unfurnished,11000000,Babukhan Solitaire,Apartment,,Resale,Owner,domcache_srp_42024521
2,2,20210607,,3,Semi-Furnished,4500000,,Apartment,,Resale,Owner,domcache_srp_55327411
2,2,20210625,,6,Furnished,3500000,,Apartment,,Resale,Owner,domcache_srp_53917347
2,2,20210527,Comfort Constructions,4,Unfurnished,3900000,Comfort Landmark,Apartment,,Resale,Owner,domcache_srp_53494457
2,2,20210527,,2,Unfurnished,4750000,,Apartment,,Resale,Owner,domcache_srp_52117549
2,2,20210812,,1,Unfurnished,2950000,,Apartment,,Resale,Owner,domcache_srp_56027995
2,3,20210608,,1,Semi-Furnished,2500000,,Residential House,,Resale,Owner,domcache_srp_50729052
2,2,20210528,,6,Unfurnished,4500000,,Apartment,,Resale,Owner,domcache_srp_42428435
3,3,20210608,,5,Unfurnished,7150000,Bhavani Enclave,Apartment,,Resale,Owner,domcache_srp_52069509
2,2,20210426,Janapriya Engineers Syndicate,2,Unfurnished,14000000,Janapriya Enclave,Residential House,,Resale,Owner,domcache_srp_54283483
2,2,20210426,Siri balaji constructions,Ground,Furnished,4500000,Siri Balaji Towers,Apartment,,Resale,Owner,domcache_srp_54436995
5,5,20210601,,3,Semi-Furnished,13000000,,Residential House,,Resale,Owner,domcache_srp_55205977
2,4,20210528,,,Unfurnished,7500000,,Villa,,Resale,Owner,domcache_srp_55208863
3,2,20210527,,,Semi-Furnished,4200000,,Residential House,,Resale,Owner,domcache_srp_55208991
2,2,20210717,,5,Unfurnished,4600000,,Apartment,,Resale,Owner,domcache_srp_54295633
2,2,20210528,Tripura Constructions,4,Unfurnished,6700000,Tripura Galaxy,Apartment,,Resale,Owner,domcache_srp_51242620
2,2,20210626,,2,Unfurnished,2500000,,Apartment,,Resale,Owner,domcache_srp_50460130
2,3,20210608,Provident Housing Ltd.,9,Unfurnished,7500000,Provident Kenworth,Apartment,,Resale,Owner,domcache_srp_53045205
2,2,20210621,BRC Infra Pvt. Ltd.,4,Furnished,4800000,CBR Estates,Apartment,,Resale,Owner,domcache_srp_49250841
2,2,20210626,,1,Unfurnished,6000000,,Apartment,,Resale,Owner,domcache_srp_53924865
3,3,20210720,Concrete Constructions,3,Unfurnished,6500000,Concrete OU Colony,Apartment,,Resale,Owner,domcache_srp_55974587
2,2,20210517,,9,Semi-Furnished,6900000,,Apartment,,Resale,Owner,domcache_srp_55128701
3,3,20210620,,1,Furnished,11200000,,Apartment,,Resale,Owner,domcache_srp_55505803
2,2,20210621,,Ground,Furnished,2700000,,Apartment,,Resale,Owner,domcache_srp_52721109
2,3,20210621,,Ground,Unfurnished,14000000,,Residential House,,Resale,Owner,domcache_srp_49544156
3,3,20210516,,1,Unfurnished,9000000,,Apartment,,Resale,Owner,domcache_srp_52939961
3,3,20210522,Om Sree Builders & Developers LLP,1,Semi-Furnished,14000000,Patels Bright View,Apartment,,Resale,Owner,domcache_srp_54569709
2,2,20210602,,4,Semi-Furnished,6000000,,Apartment,,Resale,Owner,domcache_srp_53926483
3,3,20210517,,2,Furnished,12000000,,Apartment,,Resale,Owner,domcache_srp_54676083
2,2,20210622,Aparna Constructions and Estates Pvt. Ltd.,9,Unfurnished,9000000,Aparna CyberZon,Apartment,,Resale,Owner,domcache_srp_47751425
2,2,20210622,,1,Unfurnished,3500000,,Apartment,,Resale,Owner,domcache_srp_53851365
2,2,20210602,LandIndia Developers Pvt. Ltd.,2,Unfurnished,5500000,Anjali Hills,Apartment,,New Property,Owner,domcache_srp_51364568
2,2,20210602,,3,Semi-Furnished,3200000,,Apartment,,Resale,Owner,domcache_srp_55273105
3,3,20210620,Madhu Infrastructure Pvt. Ltd.,1,Semi-Furnished,7600000,Madhu Park Ridge,Apartment,,Resale,Owner,domcache_srp_52963229
2,2,20210420,AP Rajivswagruha Corporation Ltd.,1,Semi-Furnished,4000000,Aarambh Township,Apartment,,Resale,Owner,domcache_srp_53311845
2,2,20210621,,2,Furnished,4200000,,Apartment,,Resale,Owner,domcache_srp_52709647
2,2,20210621,,3,Unfurnished,2930000,,Apartment,,Resale,Owner,domcache_srp_49525700
2,2,20210421,,2,Unfurnished,5100000,,Apartment,,Resale,Owner,domcache_srp_49674240
2,2,20210513,,3,Semi-Furnished,4500000,Sri Sai Ambika Residency,Apartment,,Resale,Owner,domcache_srp_55095785
2,2,20210624,,2,Semi-Furnished,4500000,Shilpi Complex,Apartment,,Resale,Owner,domcache_srp_39351543
2,2,20210602,,Ground,Semi-Furnished,2500000,,Apartment,,Resale,Owner,domcache_srp_55113861
2,2,20210623,,1,Semi-Furnished,2000000,,Apartment,,Resale,Owner,domcache_srp_53879903
2,2,20210720,,1,Semi-Furnished,3900000,,Apartment,,Resale,Owner,domcache_srp_50164022
2,2,20210604,RR Constructions,4,Furnished,4400000,RR Classic,Apartment,,Resale,Owner,domcache_srp_50235266
2,2,20210605,,2,Semi-Furnished,3750000,,Apartment,,New Property,Owner,domcache_srp_55299829
